,Anomalies(#),Blockade(#),RemoraAttacks(#),Time,index
3,3,1,2,568.0,18
4,4,1,3,555.0,18
5,5,1,4,542.0,18
6,6,1,5,532.0,18
7,7,1,6,520.0,18
8,8,1,7,490.0,18
9,9,2,7,482.0,18
10,10,2,8,468.0,18
11,11,3,8,466.0,18
12,12,3,9,451.0,18
13,13,3,10,426.0,18
14,14,4,10,417.0,18
15,15,4,11,413.0,18
16,16,5,11,409.0,18
17,17,5,12,394.0,18
18,18,5,13,388.0,18
19,19,6,13,372.0,18
20,20,6,14,366.0,18
21,21,7,14,363.0,18
22,22,7,15,352.0,18
23,23,7,16,340.0,18
24,24,8,16,337.0,18
25,25,8,17,318.0,18
26,26,9,17,315.0,18
27,27,10,17,305.0,18
28,28,11,17,298.0,18
29,29,11,18,292.0,18
30,30,12,18,264.0,18
31,31,13,18,258.0,18
32,32,13,19,252.0,18
33,33,14,19,240.0,18
34,34,14,20,233.0,18
35,35,14,21,220.0,18
36,36,14,22,181.0,18
37,37,14,23,166.0,18
38,38,15,23,150.0,18
39,39,15,24,145.0,18
40,40,16,24,141.0,18
41,41,17,24,130.0,18
0,0,0,0,599.0,19
1,1,0,1,586.0,19
2,2,1,1,580.0,19
3,3,2,1,578.0,19
4,4,3,1,576.0,19
5,5,3,2,569.0,19
6,6,3,3,555.0,19
7,7,3,4,546.0,19
8,8,4,4,539.0,19
9,9,4,5,532.0,19
10,10,4,6,518.0,19
11,11,5,6,508.0,19
12,12,5,7,487.0,19
13,13,5,8,463.0,19
14,14,6,8,455.0,19
15,15,7,8,447.0,19
16,16,7,9,444.0,19
17,17,7,10,424.0,19
18,18,8,10,410.0,19
19,19,8,11,405.0,19
20,20,9,11,388.0,19
21,21,9,12,386.0,19
22,22,9,13,380.0,19
23,23,10,13,377.0,19
24,24,11,13,364.0,19
25,25,11,14,359.0,19
26,26,11,15,341.0,19
27,27,11,16,330.0,19
28,28,11,17,313.0,19
29,29,11,18,292.0,19
30,30,11,19,237.0,19
31,31,12,19,234.0,19
32,32,13,19,219.0,19
33,33,13,20,217.0,19
34,34,13,21,202.0,19
35,35,14,21,198.0,19
36,36,15,21,179.0,19
37,37,16,21,173.0,19
38,38,16,22,165.0,19
39,39,16,23,146.0,19
40,40,16,24,87.0,19
0,0,0,0,599.0,20
1,1,1,0,591.0,20
2,2,1,1,582.0,20
3,3,2,1,565.0,20
4,4,2,2,564.0,20
5,5,3,2,559.0,20
6,6,4,2,553.0,20
7,7,4,3,551.0,20
8,8,4,4,537.0,20
9,9,4,5,527.0,20
10,10,4,6,514.0,20
11,11,5,6,485.0,20
12,12,5,7,482.0,20
13,13,6,7,470.0,20
14,14,6,8,461.0,20
15,15,6,9,444.0,20
16,16,7,9,439.0,20
17,17,8,9,423.0,20
18,18,8,10,422.0,20
19,19,8,11,408.0,20
20,20,9,11,400.0,20
21,21,9,12,390.0,20
22,22,9,13,383.0,20
23,23,10,13,362.0,20
24,24,10,14,361.0,20
25,25,10,15,346.0,20
26,26,10,16,333.0,20
27,27,10,17,317.0,20
28,28,10,18,295.0,20
29,29,11,18,275.0,20
30,30,12,18,267.0,20
31,31,13,18,260.0,20
32,32,13,19,242.0,20
33,33,14,19,229.0,20
34,34,14,20,221.0,20
35,35,14,21,207.0,20
36,36,15,21,199.0,20
37,37,16,21,193.0,20
38,38,16,22,140.0,20
39,39,16,23,104.0,20
40,40,16,24,43.0,20
0,0,0,0,599.0,21
1,1,1,0,590.0,21
2,2,2,0,588.0,21
3,3,2,1,585.0,21
4,4,2,2,568.0,21
5,5,3,2,555.0,21
6,6,3,3,554.0,21
7,7,3,4,540.0,21
8,8,3,5,531.0,21
9,9,3,6,517.0,21
10,10,4,6,508.0,21
11,11,4,7,485.0,21
12,12,5,7,473.0,21
13,13,6,7,465.0,21
14,14,6,8,464.0,21
15,15,6,9,447.0,21
16,16,7,9,439.0,21
17,17,8,9,428.0,21
18,18,8,10,423.0,21
19,19,9,10,413.0,21
20,20,9,11,411.0,21
21,21,9,12,390.0,21
22,22,9,13,386.0,21
23,23,10,13,383.0,21
24,24,11,13,377.0,21
25,25,11,14,365.0,21
26,26,11,15,349.0,21
27,27,11,16,337.0,21
28,28,11,17,320.0,21
29,29,11,18,299.0,21
30,30,12,18,248.0,21
31,31,12,19,246.0,21
32,32,12,20,224.0,21
33,33,12,21,211.0,21
34,34,13,21,207.0,21
35,35,14,21,181.0,21
36,36,14,22,174.0,21
37,37,14,23,159.0,21
38,38,15,23,140.0,21
39,39,15,24,136.0,21
40,40,16,24,120.0,21
0,0,0,0,599.0,22
1,1,0,1,584.0,22
2,2,1,1,580.0,22
3,3,1,2,566.0,22
4,4,2,2,563.0,22
5,5,2,3,551.0,22
6,6,2,4,538.0,22
7,7,3,4,533.0,22
8,8,3,5,528.0,22
9,9,3,6,514.0,22
10,10,4,6,498.0,22
11,11,5,6,491.0,22
12,12,5,7,485.0,22
13,13,5,8,463.0,22
14,14,6,8,460.0,22
15,15,6,9,445.0,22
16,16,7,9,437.0,22
17,17,8,9,428.0,22
18,18,8,10,422.0,22
19,19,9,10,413.0,22
20,20,9,11,408.0,22
21,21,9,12,387.0,22
22,22,9,13,381.0,22
23,23,9,14,359.0,22
24,24,9,15,344.0,22
25,25,9,16,331.0,22
26,26,9,17,311.0,22
27,27,10,17,308.0,22
28,28,11,17,284.0,22
29,29,11,18,282.0,22
30,30,12,18,278.0,22
31,31,13,18,254.0,22
32,32,14,18,247.0,22
33,33,14,19,242.0,22
34,34,15,19,240.0,22
35,35,15,20,222.0,22
36,36,16,20,211.0,22
37,37,16,21,210.0,22
38,38,17,21,204.0,22
39,39,18,21,179.0,22
40,40,18,22,171.0,22
41,41,18,23,154.0,22
42,42,18,24,97.0,22
0,0,0,0,599.0,23
1,1,1,0,590.0,23
2,2,1,1,584.0,23
