,Anomalies(#),Blockade(#),DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Goals(#),Hotspots(Positions),RemoraAttacks(#),SurveyedGoals(#),SurveyedGoals(Positions),Time,index
6,0,0,0,,6,,0,6,Tx2y1;Tx0y0;Tx0y1;Tx2y2;Tx1y2;Tx1y1,550.0,4
7,0,0,0,,7,,0,7,Tx2y1;Tx0y0;Tx0y2;Tx0y1;Tx2y2;Tx1y2;Tx1y1,542.0,4
8,0,0,0,,8,,0,8,Tx0y0;Tx0y2;Tx0y1;Tx2y1;Tx2y2;Tx0y3;Tx1y2;Tx1y1,534.0,4
9,0,0,0,,9,Tx1y3,0,9,Tx0y0;Tx0y2;Tx0y1;Tx2y1;Tx2y2;Tx0y3;Tx1y2;Tx1y3;Tx1y1,526.0,4
10,0,0,0,,10,Tx1y3,0,10,Tx0y0;Tx0y2;Tx0y1;Tx2y1;Tx2y2;Tx0y3;Tx1y2;Tx1y3;Tx1y4;Tx1y1,518.0,4
11,0,0,0,,11,Tx1y3,0,11,Tx0y0;Tx0y2;Tx0y1;Tx2y1;Tx2y3;Tx2y2;Tx0y3;Tx1y2;Tx1y3;Tx1y4;Tx1y1,508.0,4
12,0,0,0,,12,Tx1y3,0,12,Tx0y0;Tx0y2;Tx0y1;Tx2y1;Tx2y3;Tx2y2;Tx0y3;Tx1y2;Tx3y3;Tx1y3;Tx1y4;Tx1y1,498.0,4
13,0,0,0,,13,Tx1y3,0,13,Tx0y0;Tx0y2;Tx0y1;Tx2y1;Tx2y3;Tx2y2;Tx0y3;Tx1y2;Tx3y3;Tx2y4;Tx1y3;Tx1y4;Tx1y1,489.0,4
14,0,0,0,,14,Tx1y3,0,14,Tx0y0;Tx0y2;Tx0y1;Tx2y1;Tx2y3;Tx2y2;Tx0y3;Tx1y2;Tx3y3;Tx2y4;Tx3y4;Tx1y3;Tx1y4;Tx1y1,480.0,4
15,0,0,0,,15,Tx1y3,0,15,Tx0y0;Tx0y2;Tx0y1;Tx2y1;Tx2y3;Tx2y2;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx2y4;Tx1y3;Tx1y4;Tx1y1;Tx3y4,470.0,4
16,0,0,0,,16,Tx1y3,0,16,Tx0y0;Tx0y2;Tx0y1;Tx2y1;Tx2y3;Tx2y2;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx2y4;Tx3y4;Tx4y3;Tx1y3;Tx1y4;Tx1y1,460.0,4
17,0,0,0,,17,Tx1y3,0,17,Tx0y0;Tx0y2;Tx0y1;Tx2y1;Tx2y3;Tx2y2;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx2y4;Tx3y4;Tx0y4;Tx4y3;Tx1y3;Tx1y4;Tx1y1,446.0,4
18,0,0,0,,18,Tx1y3;Tx3y1,0,18,Tx0y0;Tx0y2;Tx0y1;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx2y4;Tx3y4;Tx0y4;Tx4y3;Tx1y3;Tx1y4;Tx1y1,427.0,4
